iter	RMSE
0	167.4985219
1	164.7841001
2	162.5891002
3	160.7493694
4	159.1278112
5	157.7701565
6	156.5209425
7	155.5504216
8	154.5824074
9	153.5545763
10	152.292807
11	151.5117074
12	150.9142254
13	150.44354
14	149.7519488
15	149.3550229
16	148.9212034
17	148.3412211
18	148.054574
19	147.3993229
20	146.7150733
21	146.3232429
22	145.8183571
23	145.5413868
24	144.8472769
25	144.5072752
26	143.9841471
27	143.4421908
28	142.0480911
29	141.72943
30	141.1068755
31	140.6741341
32	140.2991496
33	139.4448883
34	138.6955038
35	138.2987342
36	137.6113982
37	136.5600563
38	136.3102604
39	135.1187251
40	134.8285036
41	134.6465889
42	134.0774727
43	133.9095918
44	133.7352107
45	132.922735
46	132.3752693
47	131.2073941
48	130.2147458
49	130.0630219
50	128.9966317
51	128.7242962
52	127.9526543
53	127.2477019
54	126.9895318
55	126.7504142
56	126.3988954
57	126.0846671
58	125.8954694
59	125.00055
60	124.5545779
61	124.2545402
62	124.0275784
63	123.496858
64	123.3395686
65	122.8009509
66	121.8241174
67	121.2935678
68	120.2962736
69	119.9984505
70	119.5100877
71	119.2668264
72	119.0201861
73	118.7227523
74	118.159066
75	117.6674304
76	117.5194282
77	117.4186343
78	117.0619357
79	116.7099764
80	116.6356675
81	116.2813704
82	116.0936651
83	115.573953
84	114.973168
85	114.5982641
86	114.2920048
87	113.9803137
88	113.6794295
89	113.5752462
90	113.1576146
91	112.9234412
92	112.4276505
93	112.0161558
94	111.5852728
95	111.1890422
96	110.921074
97	110.527666
98	110.0529069
99	109.8971414
100	109.7853784
101	109.6150217
102	109.34861
103	108.8728615
104	108.7561572
105	108.4740703
106	108.2350566
107	107.9027244
108	107.8121493
109	107.6223413
110	107.5066377
111	107.2764137
112	107.1001538
113	106.8762704
114	106.7733589
115	106.5504987
116	106.3823257
117	106.1798688
118	105.6868608
119	105.5075438
120	105.2901659
121	105.1803416
122	105.0847473
123	104.7902925
124	104.6548607
125	104.4217657
126	104.1515763
127	103.8576975
128	103.7914718
129	103.7299811
130	103.5301965
131	103.3918402
132	103.1382891
133	103.0452158
134	102.8307751
135	102.4935163
136	102.3829657
137	102.2694045
138	102.1224653
139	101.8832792
140	101.4852295
141	101.2247584
142	101.066876
143	100.9671149
144	100.8478808
145	100.39724
146	100.1332234
147	99.8415984
148	99.69384139
149	99.58090852
150	99.35534745
151	99.217488
152	98.96691792
153	98.68678535
154	98.58961091
155	98.52622429
156	98.26122125
157	98.16368107
158	97.98304737
159	97.85260821
160	97.80813859
161	97.61197598
162	97.43095741
163	97.3058506
164	97.0263165
165	96.94519837
166	96.74743528
167	96.6773908
168	96.6085165
169	96.54012226
170	96.4365299
171	96.28804884
172	96.06840684
173	95.73028027
174	95.6643913
175	95.44061989
176	95.28705867
177	95.180271
178	95.09743821
179	95.00466505
180	94.90404142
181	94.81814967
182	94.71720661
183	94.42625333
184	94.16724669
185	93.87394891
186	93.66473511
187	93.45760395
188	93.30993074
189	93.17179625
190	93.03362009
191	92.96473234
192	92.86069565
193	92.79064782
194	92.60941475
195	92.44383496
196	92.33779785
197	92.23515338
198	91.98853977
199	91.86660252
200	91.63838431
201	91.5746367
202	91.49237217
